anno,cassazione,corte_appello,tribunale_ordinario,tribunale_minorenni,pendenti_totali_nazionali_escluso_giudice_pace,variazione_vs_anno_precedente_escluso_giudice_pace,giudice_pace,pendenti_totali_nazionali_incluso_giudice_pace,variazione_vs_anno_precedente_incluso_giudice_pace
2003,31140,130395,1139953,36061,1337549,,60379,1397928,
2004,30953,135322,1184940,39847,1391062,4,76113,1467175,5
2005,32862,140822,1165732,38671,1378087,-0.9,81208,1459295,-0.5
2006,37439,154844,1194511,40407,1427201,3.6,105987,1533188,5.1
2007,33177,157996,1195646,38568,1425387,-0.1,116857,1542244,0.6
2008,28340,170307,1198005,34608,1431260,0.4,116396,1547656,0.4
2009,25560,199470,1184591,35939,1445560,1,137177,1582737,2.3
2010,29381,219392,1221444,37653,1507870,4.3,147913,1655783,4.6
2011,30561,238008,1239629,39553,1547751,2.6,154306,1702057,2.8
2012,31289,249319,1293360,42768,1616736,4.5,160709,1777445,4.4
2013,31871,266475,1313246,43126,1654718,2.3,164967,1819685,2.4
2014,34143,260748,1302395,43040,1640326,-0.9,161039,1801365,-1
2015,35984,257504,1313577,42274,1649339,0.5,153220,1802559,0.1
2016,30354,268445,1187734,38539,1525072,-7.5,133439,1658511,-8
2017,30236,275596,1165339,38890,1510061,-1,118759,1628820,-1.8
2018,24609,271247,1157500,40145,1493501,-1.1,108421,1601922,-1.7
2019,23579,263319,1152240,41810,1480948,-0.8,101175,1582123,-1.2
2020,24473,271640,1185957,40901,1522971,2.8,108167,1631138,3.1
2021,23736,262761,1139491,41320,1467308,-3.7,99414,1566722,-3.9
2022,18323,249579,1038004,44074,1349980,-8,83372,1433352,-8.5
2023,15125,221303,872734,45079,1154241,-14.5,74099,1228340,-14.3
2024,10488,189796,837504,46822,1084610,-6,71658,1156268,-5.9
